Year,Round,Game Number,Home Team,Away Team,Home Score,Away Score,url,attendance,arena,time,game_id
2019,2.0,6.0,Houston Rockets,Golden State Warriors,113,118,https://www.basketball-reference.com/boxscores/201905100HOU.html,"18,055",Toyota Center,9:00p,16059
2019,2.0,7.0,Denver Nuggets,Portland Trail Blazers,96,100,https://www.basketball-reference.com/boxscores/201905120DEN.html,"19,725",Pepsi Center,3:30p,16060
2019,2.0,7.0,Toronto Raptors,Philadelphia 76ers,92,90,https://www.basketball-reference.com/boxscores/201905120TOR.html,"20,917",Scotiabank Arena,7:00p,16061
2019,3.0,1.0,Golden State Warriors,Portland Trail Blazers,116,94,https://www.basketball-reference.com/boxscores/201905140GSW.html,"19,596",Oracle Arena,9:00p,16062
2019,3.0,1.0,Milwaukee Bucks,Toronto Raptors,108,100,https://www.basketball-reference.com/boxscores/201905150MIL.html,"17,345",Fiserv Forum,8:30p,16063
2019,3.0,2.0,Golden State Warriors,Portland Trail Blazers,114,111,https://www.basketball-reference.com/boxscores/201905160GSW.html,"19,596",Oracle Arena,9:00p,16064
2019,3.0,2.0,Milwaukee Bucks,Toronto Raptors,125,103,https://www.basketball-reference.com/boxscores/201905170MIL.html,"17,570",Fiserv Forum,8:30p,16065
2019,3.0,3.0,Portland Trail Blazers,Golden State Warriors,99,110,https://www.basketball-reference.com/boxscores/201905180POR.html,"20,214",Moda Center,9:00p,16066
2019,3.0,3.0,Toronto Raptors,Milwaukee Bucks,118,112,https://www.basketball-reference.com/boxscores/201905190TOR.html,"19,923",Scotiabank Arena,7:00p,16067
2019,3.0,4.0,Portland Trail Blazers,Golden State Warriors,117,119,https://www.basketball-reference.com/boxscores/201905200POR.html,"20,064",Moda Center,9:00p,16068
2019,3.0,4.0,Toronto Raptors,Milwaukee Bucks,120,102,https://www.basketball-reference.com/boxscores/201905210TOR.html,"20,237",Scotiabank Arena,8:30p,16069
2019,3.0,5.0,Milwaukee Bucks,Toronto Raptors,99,105,https://www.basketball-reference.com/boxscores/201905230MIL.html,"17,384",Fiserv Forum,8:30p,16070
2019,3.0,6.0,Toronto Raptors,Milwaukee Bucks,100,94,https://www.basketball-reference.com/boxscores/201905250TOR.html,"20,478",Scotiabank Arena,8:30p,16071
2019,4.0,1.0,Toronto Raptors,Golden State Warriors,118,109,https://www.basketball-reference.com/boxscores/201905300TOR.html,"19,983",Scotiabank Arena,9:00p,16072
2019,4.0,2.0,Toronto Raptors,Golden State Warriors,104,109,https://www.basketball-reference.com/boxscores/201906020TOR.html,"20,014",Scotiabank Arena,8:00p,16073
2019,4.0,3.0,Golden State Warriors,Toronto Raptors,109,123,https://www.basketball-reference.com/boxscores/201906050GSW.html,"19,596",Oracle Arena,9:00p,16074
2019,4.0,4.0,Golden State Warriors,Toronto Raptors,92,105,https://www.basketball-reference.com/boxscores/201906070GSW.html,"19,596",Oracle Arena,9:00p,16075
2019,4.0,5.0,Toronto Raptors,Golden State Warriors,105,106,https://www.basketball-reference.com/boxscores/201906100TOR.html,"20,144",Scotiabank Arena,9:00p,16076
2019,4.0,6.0,Golden State Warriors,Toronto Raptors,110,114,https://www.basketball-reference.com/boxscores/201906130GSW.html,"19,596",Oracle Arena,9:00p,16077
2020,1.0,1.0,Denver Nuggets,Utah Jazz,135,125,https://www.basketball-reference.com/boxscores/202008170DEN.html,,HP Field House,1:30p,16078
2020,1.0,1.0,Toronto Raptors,Brooklyn Nets,134,110,https://www.basketball-reference.com/boxscores/202008170TOR.html,,The Arena,4:00p,16079
2020,1.0,1.0,Boston Celtics,Philadelphia 76ers,109,101,https://www.basketball-reference.com/boxscores/202008170BOS.html,,HP Field House,6:30p,16080
2020,1.0,1.0,Los Angeles Clippers,Dallas Mavericks,118,110,https://www.basketball-reference.com/boxscores/202008170LAC.html,,The Arena,9:00p,16081
2020,1.0,1.0,Milwaukee Bucks,Orlando Magic,110,122,https://www.basketball-reference.com/boxscores/202008180MIL.html,,HP Field House,1:30p,16082
2020,1.0,1.0,Indiana Pacers,Miami Heat,101,113,https://www.basketball-reference.com/boxscores/202008180IND.html,,The Arena,4:00p,16083
2020,1.0,1.0,Houston Rockets,Oklahoma City Thunder,123,108,https://www.basketball-reference.com/boxscores/202008180HOU.html,,HP Field House,6:30p,16084
2020,1.0,1.0,Los Angeles Lakers,Portland Trail Blazers,93,100,https://www.basketball-reference.com/boxscores/202008180LAL.html,,The Arena,9:00p,16085
2020,1.0,2.0,Toronto Raptors,Brooklyn Nets,104,99,https://www.basketball-reference.com/boxscores/202008190TOR.html,,HP Field House,1:30p,16086
2020,1.0,2.0,Denver Nuggets,Utah Jazz,105,124,https://www.basketball-reference.com/boxscores/202008190DEN.html,,The Arena,4:00p,16087
2020,1.0,2.0,Boston Celtics,Philadelphia 76ers,128,101,https://www.basketball-reference.com/boxscores/202008190BOS.html,,HP Field House,6:30p,16088
2020,1.0,2.0,Los Angeles Clippers,Dallas Mavericks,114,127,https://www.basketball-reference.com/boxscores/202008190LAC.html,,The Arena,9:00p,16089
