player_id,game_id,points,rebounds,assists,2pm,2pa,3pm,3pa,FTM,FTA,FGM depth,FGA depth,FGM,FGA,offensive rebounds,defensive rebounds,fouls,fouls drawn,turnovers,steals,blocks
kanteen01,10815,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,1
Team,10815,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0
anthoca01,10815,0,0,0,0,1,0,1,0,0,0.0,21.0,0,2,0,0,0,0,0,0,0
capelca01,10815,2,2,0,1,1,0,0,0,0,1.0,1.0,1,1,1,1,0,0,0,0,0
huntede01,10815,2,0,0,0,0,0,0,2,2,0.0,0.0,0,0,0,0,3,1,0,0,0
goodwbr01,10815,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
mitchdo01,10818,4,0,0,2,3,0,0,0,0,10.0,7.666666666666667,2,3,0,0,0,0,0,0,0
bogdabo02,10818,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
jokicni01,10818,2,2,1,1,2,0,1,0,0,15.0,13.666666666666666,1,3,1,1,1,0,0,0,0
murraja01,10818,5,0,0,1,1,1,3,0,0,15.5,24.0,2,4,0,0,0,0,0,0,0
conlemi01,10818,2,1,0,1,1,0,0,0,1,6.0,6.0,1,1,0,1,0,1,0,0,0
morrimo01,10818,0,1,2,0,1,0,0,0,0,0.0,4.0,0,1,1,0,0,0,0,0,0
Team,10818,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0
harriga01,10818,3,1,0,0,0,1,1,0,0,23.0,23.0,1,1,0,1,0,0,0,0,0
doziepj01,10818,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,1,0,0,0,0
onealro01,10818,2,0,1,0,0,0,0,2,2,0.0,0.0,0,0,0,0,0,1,0,0,0
favorde01,10818,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
goberru01,10818,2,0,0,1,1,0,0,0,0,2.0,2.0,1,1,0,0,0,0,0,0,0
baglema01,10819,3,0,0,0,0,1,2,0,0,23.0,23.0,1,2,0,0,0,1,0,0,0
hieldbu01,10819,0,1,2,0,0,0,1,0,0,0.0,25.0,0,1,0,1,1,0,0,0,1
ingrabr01,10819,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,1,0,0
foxde01,10819,6,0,0,3,3,0,0,0,0,6.0,6.0,3,3,0,0,1,1,0,0,0
Team,10819,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,1,1,0,0,0,0,0
barneha02,10819,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,0,0,0
adamsst01,10819,4,1,0,0,1,0,0,4,4,0.0,3.0,0,1,1,0,0,2,0,0,0
holmeri01,10819,2,0,0,1,1,0,1,0,0,1.0,12.0,1,2,0,0,0,0,0,0,0
willizi01,10819,0,1,0,0,1,0,0,0,0,0.0,6.0,0,1,0,1,0,0,0,0,0
alexani01,10819,2,1,0,0,0,0,1,2,2,0.0,25.0,0,1,0,1,1,1,0,0,0
redicjj01,10819,2,0,0,0,0,0,0,2,2,0.0,0.0,0,0,0,0,0,1,0,0,0
halibty01,10819,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
hartjo01,10819,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
lewiski01,10819,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
bacondw01,10821,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,0,0,0
randlju01,10821,5,1,0,1,1,0,0,3,4,1.0,1.0,1,1,0,1,0,3,0,0,0
birchkh01,10821,0,0,1,0,1,0,0,0,0,0.0,4.0,0,1,0,0,2,0,0,0,0
rosste01,10821,9,0,0,0,0,3,4,0,0,26.666666666666668,26.25,3,4,0,0,0,0,0,0,0
gordoaa01,10821,0,2,1,0,2,0,0,0,0,0.0,1.5,0,2,1,1,0,0,1,0,0
barrerj01,10821,2,0,0,1,2,0,0,0,0,1.0,3.5,1,2,0,0,0,0,0,0,0
robinmi01,10821,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0
Team,10821,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0
bullore01,10821,1,0,0,0,0,0,0,1,1,0.0,0.0,0,0,0,0,0,1,0,1,0
jonesty01,10824,4,1,0,2,2,0,0,0,0,12.5,12.5,2,2,0,1,0,0,0,0,0
clarkbr01,10824,0,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0
bridgmi01,10824,4,1,0,0,0,1,2,1,2,23.0,24.0,1,2,1,0,0,1,0,0,0
anderky01,10824,0,2,0,0,2,0,0,0,0,0.0,1.0,0,2,1,1,1,0,0,0,0
bookede01,10824,0,1,0,0,2,0,2,0,0,0.0,14.25,0,4,0,1,2,0,0,0,0
aytonde01,10824,2,2,0,1,1,0,0,0,0,1.0,1.0,1,1,2,0,0,0,1,0,0
kaminfr01,10824,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
tillmxa01,10824,1,1,0,0,0,0,0,1,2,0.0,0.0,0,0,0,1,0,1,0,0,0
crowdja01,10824,0,0,0,0,0,0,1,0,0,0.0,26.0,0,1,0,0,0,0,0,0,0
allengr01,10824,7,0,0,0,0,1,1,4,4,24.0,24.0,1,1,0,0,0,2,0,1,0
moranja01,10824,2,0,1,1,1,0,0,0,0,1.0,1.0,1,1,0,0,0,1,0,0,0
paulch01,10824,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,1,0,0
banede01,10824,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
carteje01,10824,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
johnsca02,10824,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
Team,10824,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0
hardeja01,10825,4,2,2,2,2,0,1,0,0,8.0,14.0,2,3,1,1,0,0,0,0,0
lopezbr01,10825,0,0,0,0,0,0,1,0,0,0.0,27.0,0,1,0,0,0,0,0,1,0
connapa01,10825,0,1,1,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0
holidjr01,10825,2,0,0,1,2,0,0,0,0,1.0,1.0,1,2,0,0,0,0,0,0,0
middlkh01,10825,4,0,0,2,2,0,2,0,0,8.0,16.0,2,4,0,0,1,0,0,0,0
duranke01,10825,4,0,0,0,0,1,1,1,2,26.0,26.0,1,1,0,0,0,1,1,0,0
Team,10825,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0
divindo01,10825,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
